X,Y,mag,alti
543904.438756447,-1766582.79591434,1101.02368164063,2907.6279296875
544404.438756447,-1766582.79591434,1161.24816894531,2855.20483398438
544904.438756447,-1766582.79591434,572.471496582031,2800.47094726563
545404.438756447,-1766582.79591434,74.220344543457,2738.46630859375
545904.438756447,-1766582.79591434,-161.400894165039,2676.88134765625
546404.438756447,-1766582.79591434,-265.029541015625,2609.61206054688
546904.438756447,-1766582.79591434,-285.174011230469,2544.93798828125
547404.438756447,-1766582.79591434,-273.339508056641,2485.77905273438
547904.438756447,-1766582.79591434,-251.817886352539,2425.8115234375
548404.438756447,-1766582.79591434,-229.144271850586,2372.8818359375
548904.438756447,-1766582.79591434,-209.366973876953,2326.357421875
549404.438756447,-1766582.79591434,-192.384323120117,2283.69091796875
549904.438756447,-1766582.79591434,-178.119430541992,2253.26489257813
550404.438756447,-1766582.79591434,-166.109939575195,2223.697265625
550904.438756447,-1766582.79591434,-156.109680175781,2213.97241210938
551404.438756447,-1766582.79591434,-148.26921081543,2235.11059570313
551904.438756447,-1766582.79591434,-141.996139526367,2223.044921875
552404.438756447,-1766582.79591434,-136.984680175781,2221.16625976563
552904.438756447,-1766582.79591434,-132.728668212891,2252.28588867188
553404.438756447,-1766582.79591434,-129.495422363281,2231.47119140625
553904.438756447,-1766582.79591434,-126.99503326416,2202.55029296875
554404.438756447,-1766582.79591434,-125.416084289551,2183.40698242188
554904.438756447,-1766582.79591434,-124.224227905273,2173.64331054688
555404.438756447,-1766582.79591434,-123.624786376953,2169.04858398438
555904.438756447,-1766582.79591434,-123.876319885254,2161.76928710938
556404.438756447,-1766582.79591434,-124.664459228516,2160.1962890625
556904.438756447,-1766582.79591434,-126.668922424316,2167.59936523438
557404.438756447,-1766582.79591434,-130.287689208984,2170.82250976563
557904.438756447,-1766582.79591434,-135.786712646484,2178.38452148438
558404.438756447,-1766582.79591434,-143.77131652832,2189.70727539063
558904.438756447,-1766582.79591434,-155.293807983398,2200.80395507813
559404.438756447,-1766582.79591434,-170.007141113281,2215.97143554688
559904.438756447,-1766582.79591434,-185.966903686523,2232.72192382813
560404.438756447,-1766582.79591434,-199.722244262695,2252.13256835938
560904.438756447,-1766582.79591434,-210.322006225586,2283.63305664063
561404.438756447,-1766582.79591434,-207.21418762207,2314.65966796875
561904.438756447,-1766582.79591434,-166.094329833984,2368.45971679688
562404.438756447,-1766582.79591434,43.5621795654297,2406.29174804688
562904.438756447,-1766582.79591434,756.916137695313,2431.232421875
563404.438756447,-1766582.79591434,898.002990722656,2430.74926757813
563904.438756447,-1766582.79591434,819.568725585938,2424.78540039063
564404.438756447,-1766582.79591434,830.477172851563,2414.48217773438
564904.438756447,-1766582.79591434,538.411682128906,2405.59301757813
565404.438756447,-1766582.79591434,147.809494018555,2419.98559570313
565904.438756447,-1766582.79591434,171.466781616211,2360.30029296875
566404.438756447,-1766582.79591434,201.113632202148,2346.30639648438
566904.438756447,-1766582.79591434,148.812545776367,2354.07470703125
567404.438756447,-1766582.79591434,52.4746551513672,2377.04248046875
567904.438756447,-1766582.79591434,35.2790069580078,2415.14526367188
514904.438756447,-1766082.79591434,-131.798324584961,2166.125
515404.438756447,-1766082.79591434,-133.566436767578,2146.68603515625
515904.438756447,-1766082.79591434,-131.238418579102,2152.42578125
516404.438756447,-1766082.79591434,-134.209335327148,2155.34985351563
516904.438756447,-1766082.79591434,-141.863647460938,2173.67211914063
517404.438756447,-1766082.79591434,-142.098434448242,2190.89599609375
517904.438756447,-1766082.79591434,-130.822937011719,2207.693359375
518404.438756447,-1766082.79591434,-114.91756439209,2221.470703125
518904.438756447,-1766082.79591434,-102.613220214844,2234.76977539063
519404.438756447,-1766082.79591434,-98.1478576660156,2249.63452148438
519904.438756447,-1766082.79591434,-99.6988983154297,2262.55126953125
